feedback_ref,organization,user_type,organization_size,country,actor_class
F33364491,Dutch Organization for Applied Scientific Research (TNO),Academic/research Institution,Large (250 or more),Netherlands,Science
F33364488,PIEP,Academic/research Institution,Medium (50 to 249 employees),Portugal,Science
F33364487,SINTEF AS,Academic/research Institution,Large (250 or more),Norway,Science
F33364486,Fusion Industry Association (FIA),Business association,Micro (1 to 9 employees),Belgium,Associations
F33364483,"Portuguese Ministry of Education, Science and Innovation (which I represent in the Technology Council for Advanced Materials)",Public authority,Large (250 or more),Portugal,Civil_Public
F33364478,SIRK NORGE,Business association,Small (10 to 49 employees),Norway,Associations
F33364475,Clean Air Task Force,Non-governmental organisation (NGO),Medium (50 to 249 employees),Belgium,Civil_Public
F33364465,Consiglio Nazionale delle Ricerche - National Research Council - Italy,Academic/research Institution,Large (250 or more),Italy,Science
F33364458,LSMA (The Life Science Manufacturers Association),Business association,Micro (1 to 9 employees),Belgium,Associations
F33364456,Aalto University,Academic/research Institution,Large (250 or more),Finland,Science
F33364455,Austrian Academy of Sciences,Academic/research Institution,Large (250 or more),Austria,Science
F33364454,Fundación TECNALIA Research & Innovation,Academic/research Institution,Large (250 or more),Spain,Science
F33364453,Quantum Ket,Company/business,Micro (1 to 9 employees),Italy,SME_Industry
F33364452,The Pioneer Center for Accelerating P2X Materials Discovery (CAPeX),Academic/research Institution,Small (10 to 49 employees),Denmark,Science
F33364449,European Materials Informatics Network,Other,Large (250 or more),Belgium,Civil_Public
F33364437,Knauf Insulation,Company/business,Large (250 or more),Belgium,Big_Industry
F33364435,ESWET - European Suppliers of Waste-to-Energy Technology,Business association,Micro (1 to 9 employees),Belgium,Associations
F33364434,Proplast,Academic/research Institution,Small (10 to 49 employees),Italy,Science
F33364428,EERA - European Energy Research Alliance,Non-governmental organisation (NGO),Small (10 to 49 employees),Belgium,Science
F33364426,FUNDACION GAIKER,Other,Large (250 or more),Spain,Civil_Public
F33364420,Fundación TEKNIKER,Academic/research Institution,Large (250 or more),Spain,Science
F33364419,BASF SE,Company/business,Large (250 or more),Germany,Big_Industry
F33364418,"Federal Insitute of Occupational Safety and Health, Division 4",Public authority,Medium (50 to 249 employees),Germany,Civil_Public
F33364414,Malta Initiative,Other,Small (10 to 49 employees),Germany,Civil_Public
F33364368,University of Cambridge,Academic/research Institution,Large (250 or more),United Kingdom,Science
F33364354,Free ICT Europe Foundation,Business association,Micro (1 to 9 employees),Netherlands,Associations
F33364347,Eindhoven University of Technology,Academic/research Institution,Large (250 or more),Netherlands,Science
F33364340,Northern Netherlands: Chemport Europe & Circular Friesland Association,Business association,Small (10 to 49 employees),Netherlands,Associations
F33364330,EuropaBio,Business association,Small (10 to 49 employees),Belgium,Associations
F33364293,Renaissance Fusion,Company/business,Medium (50 to 249 employees),France,SME_Industry
F33364270,Helmholtz Zentrum Hereon,Academic/research Institution,Large (250 or more),Germany,Science
F33364268,CLIC Innovation Oy,Company/business,Small (10 to 49 employees),Finland,SME_Industry
F33364250,European Chemical Regions Network,Non-governmental organisation (NGO),Micro (1 to 9 employees),Belgium,Associations
F33364246,BNN (BioNanoNet Forschungsgesellschaft mbH) on behalf of the EU-project InnoMatSyn,Other,Small (10 to 49 employees),Austria,Civil_Public
F33364242,FEICA - Association of the European Adhesive & Sealant Indus,Business association,Micro (1 to 9 employees),Belgium,Associations
F33364238,The Research Council of Norway,Other,Large (250 or more),Norway,Civil_Public
F33364215,European Precious Metals Federation (EPMF),Business association,Micro (1 to 9 employees),Belgium,Associations
F33364209,Leonardo SpA,Company/business,Large (250 or more),Italy,Big_Industry
F33364184,"Maria Ksenia Witte, Arise Innovations",Company/business,Micro (1 to 9 employees),Germany,SME_Industry
F33364176,EIT RawMaterials,Company/business,Medium (50 to 249 employees),Germany,SME_Industry
F33364169,"BDE (Federation of the German Waste, Water and Circular Economy Management Industry)",Business association,Small (10 to 49 employees),Germany,Associations
F33364165,Delft University of Technology,Academic/research Institution,Large (250 or more),Netherlands,Science
F33364164,Université Grenoble Alpes,Academic/research Institution,Large (250 or more),France,Science
F33364163,German Chamber of Commerce and Industry,Business association,Large (250 or more),Germany,Associations
F33364159,CSGI,Academic/research Institution,Large (250 or more),Italy,Science
F33364156,Circular Economy and Recycling Cluster,Non-governmental organisation (NGO),Small (10 to 49 employees),Poland,Civil_Public
F33364148,IAM4Sweden,Other,Micro (1 to 9 employees),Sweden,Civil_Public
F33364140,MONDRAGON Corporation,Company/business,Medium (50 to 249 employees),Spain,SME_Industry
F33364136,CIDETEC,Academic/research Institution,Large (250 or more),Spain,Science
F33364131,Swedish Chemicals Agency,Public authority,Large (250 or more),Sweden,Civil_Public
F33364125,ECP4 - European Composites Plastics and Polymers Processing Platform,Academic/research Institution,Micro (1 to 9 employees),Belgium,Science
F33364121,CNRS GDR IAMAT,Academic/research Institution,Large (250 or more),France,Science
F33364119,"University of Bologna - Department of Industrial Chemistry ""Toso Montanari""",Academic/research Institution,Large (250 or more),Italy,Science
F33364118,Norwegian Environment Agency,Public authority,Large (250 or more),Norway,Civil_Public
F33364115,Instituto de Tecnología Cerámica,Academic/research Institution,Medium (50 to 249 employees),Spain,Science
F33364110,CNR,Academic/research Institution,Large (250 or more),Italy,Science
F33363722,University of Rome Tor Vergata - Dept of Enterprise Engineering,Academic/research Institution,Large (250 or more),Italy,Science
F33363703,"ACM - Alchemy & Critical Metals, Lda",Company/business,Micro (1 to 9 employees),Portugal,SME_Industry
F33363618,Henry Royce Institute for Advanced Materials,Academic/research Institution,Medium (50 to 249 employees),United Kingdom,Science
F33363554,AIMEN Technology Centre,Academic/research Institution,Large (250 or more),Spain,Science
F33363492,Federal Office for chemicals Germany,Public authority,Large (250 or more),Germany,Civil_Public
F33363462,Materials Innovation Institute (M2i),Academic/research Institution,Small (10 to 49 employees),Netherlands,Science
F33363439,Kyoto Club,Non-governmental organisation (NGO),Small (10 to 49 employees),Italy,Civil_Public
F33363334,Graphenest SA,Company/business,Micro (1 to 9 employees),Portugal,SME_Industry
F33363010,Futerro S.A.,Company/business,Small (10 to 49 employees),Belgium,SME_Industry
F33362930,Politecnico di Torino,Academic/research Institution,Large (250 or more),Italy,Science
F33362556,Łukasiewicz – Institute of Microelectronics and Photonics,Academic/research Institution,Large (250 or more),Poland,Science
F33362358,Axel'One,Other,Small (10 to 49 employees),France,Civil_Public
F33357085,Italian Circular Bioeconomy Cluster - SPRING,Other,Micro (1 to 9 employees),Italy,Civil_Public
F33322980,VinylPlus,Business association,Small (10 to 49 employees),Belgium,Associations
F33306083,Nanomox Ltd,Company/business,Micro (1 to 9 employees),United Kingdom,SME_Industry
F33306068,Wetlands International Europe,Non-governmental organisation (NGO),Small (10 to 49 employees),Belgium,Civil_Public
F33297943,Kemira Oyj,Company/business,Large (250 or more),Finland,Big_Industry
F33297376,German Chemical Industry Association VCI,Business association,Medium (50 to 249 employees),Germany,Associations
F33297098,Proxima Fusion,Company/business,Medium (50 to 249 employees),Germany,SME_Industry
F33296978,Federation of Norwegian Industries (Norsk Industri),Business association,Small (10 to 49 employees),Norway,Associations
F33296732,German Environment Agency,Public authority,Large (250 or more),Germany,Civil_Public
F33296685,University of Freiburg,Academic/research Institution,Large (250 or more),Germany,Science
F33296222,Graphene Flagship,Academic/research Institution,Large (250 or more),Sweden,Science
F33279876,Fundación Azterlan,Academic/research Institution,Medium (50 to 249 employees),Spain,Science
F33279315,UAP Coalition Netherlands,Non-governmental organisation (NGO),Small (10 to 49 employees),Netherlands,Civil_Public
F33279308,Sorbonne Université,Academic/research Institution,Large (250 or more),France,Science
F33254404,Wirtschaftsverband der deutschen Kautschukindustrie e. V.,Business association,Small (10 to 49 employees),Germany,Associations
F33204494,i-TRIBOMAT: The European Tribology Centre,Company/business,Micro (1 to 9 employees),Austria,SME_Industry
F33190137,AMAZEMET,Company/business,Medium (50 to 249 employees),Poland,SME_Industry
F33175159,Gauss Fusion GMbH,Company/business,Small (10 to 49 employees),Germany,SME_Industry
F33123462,Adcraft AB Elemenos,Company/business,Micro (1 to 9 employees),Sweden,SME_Industry
F33122809,WESTRA MATERIALS AB,Company/business,Small (10 to 49 employees),Sweden,SME_Industry
F33095817,B4D,Other,Micro (1 to 9 employees),Philippines,Civil_Public
F33094025,"PatientsLikeMe, WeDontHaveTime, Collegeofeurope, WIN Stramann, The Good Lobby Spain",Other,Large (250 or more),Sweden,Civil_Public
F33363331,University of Padova,Academic/research Institution,Large (250 or more),Italy,Science
F33363287,Centre Technique Industriel de la Plastugie et des Composites,Academic/research Institution,Medium (50 to 249 employees),France,Science
F33363250,NEXTHORIZON,Company/business,Micro (1 to 9 employees),France,SME_Industry
F33363248,Sirris,Academic/research Institution,Medium (50 to 249 employees),Belgium,Science
F33363240,Vienna University of Technology,Academic/research Institution,Large (250 or more),Austria,Science
F33363227,Critical Raw Materials Alliance,Business association,Micro (1 to 9 employees),Belgium,Associations
F33363223,Bright R&I and Knowledge Immersion (BRIKI),Company/business,Micro (1 to 9 employees),Greece,SME_Industry
F33363159,Graphene-XT,Company/business,Micro (1 to 9 employees),Italy,SME_Industry
F33363130,Hospodářská komora ČR,Business association,Medium (50 to 249 employees),Czechia,Associations
